epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.941,0.67919,1.75515,1.0578,0.96848,0.98577,0.99266,0.84768,0.6407,0.36245,1.00382,0.00331373,0.00331373,0.0701765
2,546.49,0.6875,0.59054,1.04664,0.88415,0.92276,0.97858,0.8115,0.72025,0.67089,1.07296,0.00658125,0.00658125,0.0401107
3,844.628,0.7861,0.67966,1.0913,0.76403,0.78432,0.87197,0.67367,0.8462,1.37809,1.22412,0.00978278,0.00978278,0.00997886
4,1185.88,0.82393,0.63919,1.11146,0.86908,0.88629,0.9454,0.75412,0.75434,0.82552,1.11414,0.009703,0.009703,0.009703
5,1438.21,0.79264,0.58889,1.09979,0.93043,0.92041,0.9693,0.74953,0.91093,0.81335,1.29843,0.009604,0.009604,0.009604
6,1771.36,0.77217,0.54909,1.09498,0.92202,0.97777,0.95238,0.80364,0.64233,0.71432,0.99835,0.009505,0.009505,0.009505
7,2058.88,0.74658,0.51067,1.08325,0.89225,0.89651,0.93499,0.69702,0.92144,0.63648,1.27819,0.009406,0.009406,0.009406
8,2333.57,0.73742,0.49651,1.08109,0.96965,0.99444,0.99151,0.85063,0.62719,0.41566,0.99151,0.009307,0.009307,0.009307
9,2571.09,0.7113,0.47157,1.05727,0.97183,0.98504,0.99234,0.82933,0.68825,0.39745,1.06951,0.009208,0.009208,0.009208
10,2817.27,0.69977,0.44789,1.06009,0.96773,0.99203,0.99379,0.87871,0.56839,0.38421,0.95717,0.009109,0.009109,0.009109
11,3077.03,0.68568,0.43727,1.04474,0.90402,0.94238,0.97144,0.78878,0.75882,0.62383,1.15231,0.00901,0.00901,0.00901
12,3353.19,0.67876,0.43692,1.03964,0.97312,0.95224,0.99405,0.89932,0.50586,0.38464,0.90931,0.008911,0.008911,0.008911
13,3558.78,0.67045,0.42777,1.03532,0.99087,0.9986,0.99497,0.88489,0.56423,0.32575,0.97653,0.008812,0.008812,0.008812
14,3829.2,0.65724,0.40778,1.03067,0.98781,0.99659,0.995,0.9058,0.46076,0.29653,0.88576,0.008713,0.008713,0.008713
15,4093.51,0.65683,0.40481,1.0301,0.99587,0.98992,0.995,0.84201,0.65475,0.35186,1.04981,0.008614,0.008614,0.008614
16,4391.15,0.64068,0.39744,1.02511,0.99365,0.99502,0.99408,0.89991,0.473,0.27667,0.89686,0.008515,0.008515,0.008515
17,4628.78,0.62571,0.38848,1.01498,0.98808,0.99895,0.995,0.90475,0.45755,0.27984,0.89825,0.008416,0.008416,0.008416
18,4935.35,0.61482,0.37108,1.00568,0.99404,1,0.995,0.91528,0.44187,0.26769,0.88104,0.008317,0.008317,0.008317
19,5213.52,0.61642,0.36963,1.01137,0.99763,1,0.995,0.90769,0.45412,0.25931,0.88059,0.008218,0.008218,0.008218
20,5507.9,0.60943,0.36698,1.00322,0.99639,1,0.995,0.9205,0.41307,0.24469,0.86193,0.008119,0.008119,0.008119
21,5789.31,0.61321,0.3642,1.01217,0.99302,1,0.99423,0.9158,0.45558,0.27466,0.90293,0.00802,0.00802,0.00802
22,6095.76,0.59669,0.36017,1.00118,0.99266,1,0.99427,0.88341,0.55011,0.28089,0.97633,0.007921,0.007921,0.007921
23,6342.82,0.59565,0.35323,1.0022,0.99658,1,0.995,0.91467,0.42419,0.25541,0.87152,0.007822,0.007822,0.007822
24,6639.49,0.58335,0.35174,0.99798,0.99779,1,0.995,0.92535,0.43132,0.24373,0.87539,0.007723,0.007723,0.007723
25,6886.52,0.58769,0.34885,0.99912,0.98936,0.99689,0.99486,0.91916,0.43225,0.23528,0.87178,0.007624,0.007624,0.007624
26,7212.36,0.59309,0.34424,0.99883,0.99205,0.99817,0.995,0.91868,0.42295,0.23819,0.86597,0.007525,0.007525,0.007525
27,7482.01,0.58537,0.33963,0.99694,0.99706,1,0.995,0.9229,0.41685,0.2245,0.86936,0.007426,0.007426,0.007426
28,7801.73,0.5687,0.32393,0.98646,0.99557,0.9951,0.99497,0.93048,0.41216,0.23365,0.8619,0.007327,0.007327,0.007327
29,8039.6,0.57079,0.33019,0.98594,0.99621,1,0.995,0.9249,0.43541,0.23333,0.87385,0.007228,0.007228,0.007228
30,8331.82,0.5761,0.33752,0.9901,0.99824,1,0.995,0.90477,0.52498,0.25303,0.95939,0.007129,0.007129,0.007129
31,8572.29,0.56343,0.32683,0.97741,0.99808,1,0.995,0.91374,0.4824,0.2428,0.92318,0.00703,0.00703,0.00703
32,8858.41,0.54798,0.31653,0.97398,0.99748,1,0.995,0.92529,0.43782,0.23804,0.87165,0.006931,0.006931,0.006931
33,9095.46,0.55678,0.32098,0.98872,0.99588,0.99762,0.99469,0.92923,0.4294,0.23554,0.86379,0.006832,0.006832,0.006832
34,9382.28,0.55166,0.31145,0.97755,0.99275,0.99736,0.99432,0.93791,0.38484,0.21897,0.8461,0.006733,0.006733,0.006733
35,9654.48,0.55449,0.31533,0.98958,0.99753,1,0.995,0.93151,0.41266,0.21257,0.85277,0.006634,0.006634,0.006634
36,9940.73,0.54644,0.30688,0.97411,0.99749,0.99916,0.995,0.94007,0.39474,0.21621,0.85372,0.006535,0.006535,0.006535
37,10182.8,0.54626,0.3085,0.97775,0.99742,0.99574,0.995,0.92062,0.46943,0.23002,0.90389,0.006436,0.006436,0.006436
38,10469,0.53462,0.30653,0.96948,0.99826,1,0.995,0.9356,0.37551,0.20629,0.83767,0.006337,0.006337,0.006337
39,10705.6,0.53945,0.30815,0.96789,0.99775,0.99759,0.995,0.94444,0.37933,0.21745,0.84365,0.006238,0.006238,0.006238
40,10998.1,0.54133,0.30314,0.97464,0.99756,1,0.995,0.94315,0.36649,0.20012,0.83705,0.006139,0.006139,0.006139
41,11233.8,0.54278,0.3058,0.98299,0.99595,1,0.995,0.94418,0.38805,0.19937,0.84524,0.00604,0.00604,0.00604
42,11517.9,0.53054,0.29895,0.96823,0.99494,0.99735,0.99317,0.93171,0.39254,0.21468,0.85287,0.005941,0.005941,0.005941
43,11789.1,0.51849,0.29486,0.95492,0.99584,1,0.995,0.93831,0.40528,0.20248,0.86055,0.005842,0.005842,0.005842
44,12099.2,0.53045,0.28865,0.96921,0.99816,1,0.995,0.93471,0.39592,0.20384,0.84873,0.005743,0.005743,0.005743
45,12357.8,0.52528,0.29103,0.9622,0.99862,1,0.995,0.93145,0.42411,0.21072,0.88691,0.005644,0.005644,0.005644
46,12665.8,0.5285,0.29339,0.97641,0.99829,1,0.995,0.94457,0.37046,0.19498,0.8402,0.005545,0.005545,0.005545
47,12925.2,0.52056,0.28154,0.9609,0.99826,1,0.995,0.93638,0.38912,0.19559,0.85268,0.005446,0.005446,0.005446
