epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.734,0.71547,2.20888,1.08461,0.9715,0.98056,0.9858,0.8295,0.56179,0.38934,0.95623,0.0033105,0.0033105,0.0702055
2,496.723,0.70118,0.64689,1.03961,0.96453,0.96833,0.98533,0.82808,0.64877,0.64605,0.95122,0.00657806,0.00657806,0.0401397
3,746.059,0.81115,0.71009,1.07241,0.82817,0.76056,0.91346,0.72899,0.81756,1.76267,1.11635,0.00977962,0.00977962,0.0100079
4,1049.8,0.8645,0.71558,1.10986,0.79681,0.73305,0.78292,0.61692,0.76823,2.10381,1.04262,0.009703,0.009703,0.009703
5,1220.21,0.8356,0.61969,1.09644,0.94631,0.97036,0.99335,0.83899,0.6752,0.7232,1.05535,0.009604,0.009604,0.009604
6,1498.12,0.80159,0.5696,1.09339,0.87565,0.93874,0.95683,0.80102,0.75492,0.87461,1.04987,0.009505,0.009505,0.009505
7,1719.07,0.7905,0.5571,1.09449,0.97516,0.99365,0.99318,0.84574,0.64546,0.44392,0.97027,0.009406,0.009406,0.009406
8,1989.83,0.77138,0.52151,1.07748,0.99421,0.98379,0.985,0.84998,0.60386,0.43483,0.94977,0.009307,0.009307,0.009307
9,2222.08,0.74518,0.50044,1.05856,0.98828,0.98481,0.98965,0.85814,0.56684,0.38503,0.91932,0.009208,0.009208,0.009208
10,2521.27,0.72821,0.48431,1.04104,0.98125,0.99875,0.995,0.87066,0.58386,0.36633,0.93831,0.009109,0.009109,0.009109
11,2773.3,0.73246,0.48165,1.06188,0.9619,0.98719,0.99175,0.86304,0.59605,0.72811,0.93976,0.00901,0.00901,0.00901
12,3052.1,0.71425,0.44389,1.03822,0.98327,0.99693,0.99477,0.86958,0.55779,0.33388,0.91558,0.008911,0.008911,0.008911
13,3252.18,0.69765,0.43385,1.03962,0.96822,0.9826,0.98806,0.87945,0.53238,0.44763,0.90551,0.008812,0.008812,0.008812
